MAG_name,phylum,class,order,family,genus,Dissimilatory_nitrate_reduction_K00370,Dissimilatory_nitrate_reduction_K00371,Dissimilatory_nitrate_reduction_K00374,Dissimilatory_nitrate_reduction_K02567,Dissimilatory_nitrate_reduction_K02568,Dissimilatory_nitrate_reduction_K00362,Dissimilatory_nitrate_reduction_K00363,Dissimilatory_nitrate_reduction_K03385,Dissimilatory_nitrate_reduction_K15876,Assimilatory_nitrate_reduction_K00367,Assimilatory_nitrate_reduction_K10534,Assimilatory_nitrate_reduction_K00372,Assimilatory_nitrate_reduction_K00360,Assimilatory_nitrate_reduction_K17877,Assimilatory_nitrate_reduction_K00366,Dissimilatory_nitrate_reduction_K00370,Dissimilatory_nitrate_reduction_K00371,Dissimilatory_nitrate_reduction_K00374,Dissimilatory_nitrate_reduction_K02567,Dissimilatory_nitrate_reduction_K02568,Denitrification_K00368,Denitrification_K15864,Denitrification_K04561,Denitrification_K02305,Denitrification_K00376,Nitrogen_fixation_K02586,Nitrogen_fixation_K02591,Nitrogen_fixation_K02588,Nitrogen_fixation_K00531,Nitrogen_fixation_K22896,Nitrogen_fixation_K22897,Nitrogen_fixation_K22898,Nitrogen_fixation_K22899,Nitrification_K10944,Nitrification_K10945,Nitrification_K10946,Nitrification_K10535,Dissimilatory_nitrate_reduction_K00370,Dissimilatory_nitrate_reduction_K00371,Annamox_K20932,Annamox_K20933,Annamox_K20934,Denitrification_K00368,Denitrification_K15864,Annamox_K20935,Laminarinase_K01199,Laminarinase_K19891,Laminarinase_K19892,Laminarinase_K19893,Alginate_algL_K01729,Alginate_alg17C_K20525,Alginate_algE_K16081,Alginate_algF_K19296,Alginate_algG_K01795,Alginate_algI_K19294,Alginate_algJ_K19295,Alginate_algK_K19292,,
g1_MAG_00001,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,UBA985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g1_MAG_00002,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,
g1_MAG_00003,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,GCA-2401725,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
g1_MAG_00004,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,GCA-2708415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00005,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00006,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00007,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00008,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,GCA-2708415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,
g1_MAG_00009,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00010,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
g1_MAG_00011,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00012,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1_MAG_00013,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00001,Bdellovibrionota,Oligoflexia,Oligoflexales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,
g2_MAG_00002,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00003,Bdellovibrionota,Oligoflexia,Oligoflexales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00004,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,UBA1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00005,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,UBA1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00006,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Olleya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,
g2_MAG_00007,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,
g2_MAG_00008,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,
g2_MAG_00009,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,
g2_MAG_00011,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,GCA-1730015,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,
g2_MAG_00013,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
g2_MAG_00014,Bdellovibrionota,Oligoflexia,Oligoflexales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00015,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00016,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
g2_MAG_00017,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00019,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
g2_MAG_00020,Bdellovibrionota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00022,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,
g2_MAG_00024,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00025,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,,
g2_MAG_00027,Proteobacteria,Alphaproteobacteria,Rickettsiales,21-14-0-20-44-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00028,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
g2_MAG_00029,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,
g2_MAG_00030,Proteobacteria,Alphaproteobacteria,Rickettsiales,SXRF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,,
g2_MAG_00031,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00032,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,
g2_MAG_00033,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GCA-2713145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g2_MAG_00034,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00036,Patescibacteria,Gracilibacteria,BD1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
g2_MAG_00037,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2_MAG_00038,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g3_MAG_00001,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,SYFY01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g3_MAG_00002,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,,,Y,,,Y,Y,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,
g3_MAG_00004,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
g3_MAG_00005,Proteobacteria,Gammaproteobacteria,UBA10353,UBA7415,Arenicella,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,
g3_MAG_00006,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,Y,,,
g3_MAG_00007,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
